rowid,kepid,koi_disposition,koi_pdisposition
6044,6784887,FALSE POSITIVE,FALSE POSITIVE
6045,6805414,CANDIDATE,CANDIDATE
6046,6864891,FALSE POSITIVE,FALSE POSITIVE
6047,6875342,CANDIDATE,CANDIDATE
6048,6879183,CANDIDATE,CANDIDATE
6049,7891264,FALSE POSITIVE,FALSE POSITIVE
6050,6880123,FALSE POSITIVE,FALSE POSITIVE
6051,6891512,FALSE POSITIVE,FALSE POSITIVE
6052,2570432,FALSE POSITIVE,FALSE POSITIVE
6053,2574543,FALSE POSITIVE,FALSE POSITIVE
6054,2578811,FALSE POSITIVE,FALSE POSITIVE
6055,2582800,FALSE POSITIVE,FALSE POSITIVE
6056,2707916,FALSE POSITIVE,FALSE POSITIVE
6057,2708270,FALSE POSITIVE,FALSE POSITIVE
6058,4540508,FALSE POSITIVE,FALSE POSITIVE
6059,4565943,FALSE POSITIVE,FALSE POSITIVE
6060,4566848,CANDIDATE,CANDIDATE
6061,4570555,FALSE POSITIVE,FALSE POSITIVE
6062,4647949,FALSE POSITIVE,FALSE POSITIVE
6063,4678873,FALSE POSITIVE,FALSE POSITIVE
6064,4732015,FALSE POSITIVE,FALSE POSITIVE
6065,5709014,FALSE POSITIVE,FALSE POSITIVE
6066,5732636,FALSE POSITIVE,FALSE POSITIVE
6067,5734702,FALSE POSITIVE,FALSE POSITIVE
6068,5779606,FALSE POSITIVE,FALSE POSITIVE
6069,5780194,FALSE POSITIVE,FALSE POSITIVE
6070,5781991,FALSE POSITIVE,FALSE POSITIVE
6071,5784803,FALSE POSITIVE,FALSE POSITIVE
6072,5791713,FALSE POSITIVE,FALSE POSITIVE
6073,6688318,FALSE POSITIVE,FALSE POSITIVE
6074,6690523,FALSE POSITIVE,FALSE POSITIVE
6075,6692742,FALSE POSITIVE,FALSE POSITIVE
6076,6695801,FALSE POSITIVE,FALSE POSITIVE
6077,6699562,FALSE POSITIVE,FALSE POSITIVE
6078,6707260,FALSE POSITIVE,FALSE POSITIVE
6079,6718474,FALSE POSITIVE,FALSE POSITIVE
6080,2710101,FALSE POSITIVE,FALSE POSITIVE
6081,2833632,FALSE POSITIVE,FALSE POSITIVE
6082,2836076,FALSE POSITIVE,FALSE POSITIVE
6083,2850321,FALSE POSITIVE,FALSE POSITIVE
6084,2861126,FALSE POSITIVE,FALSE POSITIVE
6085,2861298,CANDIDATE,CANDIDATE
6086,2987433,FALSE POSITIVE,FALSE POSITIVE
6087,4732137,FALSE POSITIVE,FALSE POSITIVE
6088,4736439,FALSE POSITIVE,FALSE POSITIVE
6089,4737848,CANDIDATE,CANDIDATE
6090,4740375,FALSE POSITIVE,FALSE POSITIVE
6091,4741777,FALSE POSITIVE,FALSE POSITIVE
6092,4750962,CANDIDATE,CANDIDATE
6093,4760478,CONFIRMED,CANDIDATE
6094,5793275,CANDIDATE,CANDIDATE
6095,5794687,FALSE POSITIVE,FALSE POSITIVE
6096,5817712,FALSE POSITIVE,FALSE POSITIVE
6097,5857656,CANDIDATE,CANDIDATE
6098,5858519,FALSE POSITIVE,FALSE POSITIVE
6099,5859725,CANDIDATE,CANDIDATE
6100,5905728,FALSE POSITIVE,FALSE POSITIVE
6101,6719052,FALSE POSITIVE,FALSE POSITIVE
6102,6721603,CANDIDATE,CANDIDATE
6103,6756369,CANDIDATE,CANDIDATE
